z_real,z_imag,target_real,target_imag
0.5843,0.0,0.1476,0.0
0.5843,0.0,0.0072973525205055605,0.0
0.5843,0.0,0.1179,0.0
0.5843,0.0,0.23122,0.0
0.8587,0.0,0.511,0.0
0.8587,0.0,105.658,0.0
0.8587,0.0,1776.86,0.0
0.8587,0.0,2.16,0.0
0.8587,0.0,4.67,0.0
0.8587,0.0,93.4,0.0
0.8587,0.0,1270.0,0.0
0.8587,0.0,4180.0,0.0
0.8587,0.0,172760.0,0.0
0.8587,0.0,0.5843,0.0
0.8587,0.0,0.1476,0.0
0.8587,0.0,0.0072973525205055605,0.0
0.8587,0.0,0.1179,0.0
0.8587,0.0,0.23122,0.0
0.1476,0.0,0.511,0.0
0.1476,0.0,105.658,0.0
0.1476,0.0,1776.86,0.0
0.1476,0.0,2.16,0.0
0.1476,0.0,4.67,0.0
0.1476,0.0,93.4,0.0
0.1476,0.0,1270.0,0.0
0.1476,0.0,4180.0,0.0
0.1476,0.0,172760.0,0.0
0.1476,0.0,0.5843,0.0
0.1476,0.0,0.8587,0.0
0.1476,0.0,0.0072973525205055605,0.0
0.1476,0.0,0.1179,0.0
0.1476,0.0,0.23122,0.0
0.0072973525205055605,0.0,0.511,0.0
0.0072973525205055605,0.0,105.658,0.0
0.0072973525205055605,0.0,1776.86,0.0
0.0072973525205055605,0.0,2.16,0.0
0.0072973525205055605,0.0,4.67,0.0
0.0072973525205055605,0.0,93.4,0.0
0.0072973525205055605,0.0,1270.0,0.0
0.0072973525205055605,0.0,4180.0,0.0
0.0072973525205055605,0.0,172760.0,0.0
0.0072973525205055605,0.0,0.5843,0.0
0.0072973525205055605,0.0,0.8587,0.0
0.0072973525205055605,0.0,0.1476,0.0
0.0072973525205055605,0.0,0.1179,0.0
0.0072973525205055605,0.0,0.23122,0.0
0.1179,0.0,0.511,0.0
0.1179,0.0,105.658,0.0
0.1179,0.0,1776.86,0.0
0.1179,0.0,2.16,0.0
0.1179,0.0,4.67,0.0
0.1179,0.0,93.4,0.0
0.1179,0.0,1270.0,0.0
0.1179,0.0,4180.0,0.0
0.1179,0.0,172760.0,0.0
0.1179,0.0,0.5843,0.0
0.1179,0.0,0.8587,0.0
0.1179,0.0,0.1476,0.0
0.1179,0.0,0.0072973525205055605,0.0
0.1179,0.0,0.23122,0.0
0.23122,0.0,0.511,0.0
0.23122,0.0,105.658,0.0
0.23122,0.0,1776.86,0.0
0.23122,0.0,2.16,0.0
0.23122,0.0,4.67,0.0
0.23122,0.0,93.4,0.0
0.23122,0.0,1270.0,0.0
0.23122,0.0,4180.0,0.0
0.23122,0.0,172760.0,0.0
0.23122,0.0,0.5843,0.0
0.23122,0.0,0.8587,0.0
0.23122,0.0,0.1476,0.0
0.23122,0.0,0.0072973525205055605,0.0
0.23122,0.0,0.1179,0.0
