z_real,z_imag,target_real,target_imag
1.630434782608696231e+00,-2.355072463768115743e+00,1.630434782608696231e+00,-2.355072463768116187e+00
1.702898550724637694e+00,-2.355072463768115743e+00,1.702898550724637250e+00,-2.355072463768115298e+00
1.775362318840580045e+00,-2.355072463768115743e+00,1.775362318840579823e+00,-2.355072463768115743e+00
1.847826086956521507e+00,-2.355072463768115743e+00,1.847826086956521285e+00,-2.355072463768115298e+00
1.920289855072463858e+00,-2.355072463768115743e+00,1.920289855072463636e+00,-2.355072463768115743e+00
1.992753623188406209e+00,-2.355072463768115743e+00,1.992753623188406431e+00,-2.355072463768115743e+00
2.065217391304347672e+00,-2.355072463768115743e+00,2.065217391304347672e+00,-2.355072463768115743e+00
2.137681159420290022e+00,-2.355072463768115743e+00,2.137681159420290022e+00,-2.355072463768115743e+00
2.210144927536232373e+00,-2.355072463768115743e+00,2.210144927536232373e+00,-2.355072463768115743e+00
2.282608695652173836e+00,-2.355072463768115743e+00,2.282608695652173836e+00,-2.355072463768115298e+00
2.355072463768116187e+00,-2.355072463768115743e+00,2.355072463768115743e+00,-2.355072463768115743e+00
2.427536231884058537e+00,-2.355072463768115743e+00,2.427536231884058537e+00,-2.355072463768115298e+00
2.500000000000000000e+00,-2.355072463768115743e+00,2.499999999999999556e+00,-2.355072463768115298e+00
-2.500000000000000000e+00,-2.282608695652173836e+00,-2.499999999999999556e+00,-2.282608695652174280e+00
-2.427536231884058093e+00,-2.282608695652173836e+00,-2.427536231884058093e+00,-2.282608695652174724e+00
-2.355072463768115743e+00,-2.282608695652173836e+00,-2.355072463768115743e+00,-2.282608695652173392e+00
-2.282608695652173836e+00,-2.282608695652173836e+00,-2.282608695652173392e+00,-2.282608695652173836e+00
-2.210144927536231929e+00,-2.282608695652173836e+00,-2.210144927536231929e+00,-2.282608695652174280e+00
-2.137681159420290022e+00,-2.282608695652173836e+00,-2.137681159420289578e+00,-2.282608695652174280e+00
-2.065217391304347672e+00,-2.282608695652173836e+00,-2.065217391304348116e+00,-2.282608695652173392e+00
-1.992753623188405765e+00,-2.282608695652173836e+00,-1.992753623188405099e+00,-2.282608695652173836e+00
-1.920289855072463858e+00,-2.282608695652173836e+00,-1.920289855072464080e+00,-2.282608695652173836e+00
-1.847826086956521729e+00,-2.282608695652173836e+00,-1.847826086956521507e+00,-2.282608695652174280e+00
-1.775362318840579601e+00,-2.282608695652173836e+00,-1.775362318840579823e+00,-2.282608695652173392e+00
-1.702898550724637694e+00,-2.282608695652173836e+00,-1.702898550724637694e+00,-2.282608695652173392e+00
-1.630434782608695565e+00,-2.282608695652173836e+00,-1.630434782608695121e+00,-2.282608695652173836e+00
-1.557971014492753437e+00,-2.282608695652173836e+00,-1.557971014492753437e+00,-2.282608695652173836e+00
-1.485507246376811530e+00,-2.282608695652173836e+00,-1.485507246376811530e+00,-2.282608695652174724e+00
-1.413043478260869623e+00,-2.282608695652173836e+00,-1.413043478260870067e+00,-2.282608695652173836e+00
-1.340579710144927494e+00,-2.282608695652173836e+00,-1.340579710144927716e+00,-2.282608695652173836e+00
-1.268115942028985366e+00,-2.282608695652173836e+00,-1.268115942028984922e+00,-2.282608695652173392e+00
-1.195652173913043459e+00,-2.282608695652173836e+00,-1.195652173913043681e+00,-2.282608695652173836e+00
-1.123188405797101330e+00,-2.282608695652173836e+00,-1.123188405797100886e+00,-2.282608695652173836e+00
-1.050724637681159424e+00,-2.282608695652173836e+00,-1.050724637681158979e+00,-2.282608695652173392e+00
-9.782608695652172948e-01,-2.282608695652173836e+00,-9.782608695652171837e-01,-2.282608695652173836e+00
-9.057971014492753881e-01,-2.282608695652173836e+00,-9.057971014492754991e-01,-2.282608695652173836e+00
-8.333333333333332593e-01,-2.282608695652173836e+00,-8.333333333333330373e-01,-2.282608695652173836e+00
-7.608695652173911306e-01,-2.282608695652173836e+00,-7.608695652173911306e-01,-2.282608695652174280e+00
-6.884057971014492239e-01,-2.282608695652173836e+00,-6.884057971014495569e-01,-2.282608695652173836e+00
-6.159420289855070951e-01,-2.282608695652173836e+00,-6.159420289855070951e-01,-2.282608695652174280e+00
-5.434782608695651884e-01,-2.282608695652173836e+00,-5.434782608695651884e-01,-2.282608695652174280e+00
-4.710144927536230597e-01,-2.282608695652173836e+00,-4.710144927536228932e-01,-2.282608695652173836e+00
-3.985507246376811530e-01,-2.282608695652173836e+00,-3.985507246376810975e-01,-2.282608695652173836e+00
-3.260869565217392463e-01,-2.282608695652173836e+00,-3.260869565217391353e-01,-2.282608695652173392e+00
